Presenter,Type,Topic,Event,Year,Date,Link(s)
Vivek Parihar,Talk,10 Deployments a day - A brief on extreme release protocols,India,2013,2013.11.16,
Anandha Krishnan,Talk,4 months to 1 day sans buzzwords,India,2013,2013.11.16,
Pavan KS,Talk,4 months to 1 day sans buzzwords,India,2013,2013.11.16,
Pratima Singh,Talk,The Mayonnaise Jar and a Cup of Coffee,India,2013,2013.11.16,
Nathen Harvey,Talk,The Three C's of DevOps,India,2013,2013.11.16,
Vivek Dubey,Talk,From Dev-Box to Production - The Un-Orthodox Ways - A Short Story,India,2013,2013.11.16,
Vipul A M,Talk,From Dev-Box to Production - The Un-Orthodox Ways - A Short Story,India,2013,2013.11.16,
Konark Modi,Talk,When crons are not good enough - we need workflow schedulers,India,2013,2013.11.16,
Mark Rendell,Ignite,When you need a DevOps team,London,2013,2013.11.11,
Dawn Foster,Ignite,What we can learn about DevOps from Science Fiction,London,2013,2013.11.11,
Steve Smith,Ignite,Opening the inner circle The lesser-known ops teams in your company,London,2013,2013.11.11,
Florentin Raud,Ignite,Lessons learned monitorama.eu - 19 quotes from 19 talks,London,2013,2013.11.11,
Bernd Erk,Ignite,Icinga2 - Redesigning Monitoring,London,2013,2013.11.11,
Uri Cohen,Ignite,Devops for testing: From 500 on-premise integrations tests to 10000 on 5 different clouds,London,2013,2013.11.11,
Daniel Breston,Ignite,DevOps culture in a room,London,2013,2013.11.11,
Simon McCartney,Ignite,Consumerism V Craft,London,2013,2013.11.11,
Simon Vans-Colina,Ignite,Composable Enterprise PaaS: Experimenting with Docker in the Enterprise,London,2013,2013.11.11,
Mike Preston,Ignite,Burnout - the elephant in the room,London,2013,2013.11.11,
Uri Cohen,Ignite,Breaking Organizational Barriers - A Sweaty Use Case,London,2013,2013.11.11,
Steve Smith,Ignite,Better ops through dev - $700 million in orders with 3 engineers,London,2013,2013.11.11,
Otto Jongerius,Ignite,37000 snowflakes - 6 guys - 99.99% uptime,London,2013,2013.11.11,
Mark Burgess,Talk,What science tells us about information infrastructure,London,2013,2013.11.11,
Doug Barth,Talk,Failure Friday! - Start injecting failure today,London,2013,2013.11.11,
Jeffrey Fredrick,Talk,Crossing the Uncanny Valley of Culture through Mutual Learning ,London,2013,2013.11.11,
John Willis,Talk,The Network - The Next Frontier for Devops ?,London,2013,2013.11.11,
Pieter Hintjens,Talk,Building consistently good software with ordinary people,London,2013,2013.11.11,
Ben Hughes,Talk,That's Mr. The Plague to you! Security and this devops thing.,London,2013,2013.11.11,
Ben Hughes,Ignite,That's Mr. The Plague to you! Security and this devops thing.,Portland,2013,2013.11.04,
Seth Vargo,Ignite,Optimizing for the important things,Portland,2013,2013.11.04,
Jason Dixon,Ignite,Stupid Graphite tips,Portland,2013,2013.11.04,
Alan Sharp-Paul,Ignite,DevOps vs The Enterprise,Portland,2013,2013.11.04,
Sean O'Conner,Talk,Deploying all day without breaking the Internet,Portland,2013,2013.11.04,
Eric Shamow,Talk,"Just What Is This Continuous Delivery Thing, Anyway?",Portland,2013,2013.11.04,
Fletcher Nichol,Talk,"Infrastructure as Code, From a Developer's Point of View",Portland,2013,2013.11.04,
Luke Kanies,Talk,Hacking culture with better tools,Portland,2013,2013.11.04,
Brad Heller,Talk,The Ghost Of DevOps Past: Creating a historical record of your infrastructure,Portland,2013,2013.11.04,
Jeremy Carroll,Talk,Building an AMI Factory with Open Source Tools,Portland,2013,2013.11.04,
Chris Roberts,Talk,Vagabond - Infrastructure testing and development tool,Portland,2013,2013.11.04,
Tim Dysinger,Talk,Continuous Delivery with Containers,Portland,2013,2013.11.04,
Dawn Foster,Ignite,What we can learn about DevOps from Science Fiction,Portland,2013,2013.11.04,
Greg Borchers,Ignite,Visualization of Kanban Flow for DevOps,Portland,2013,2013.11.04,
Mark Troester,Ignite,"Shifting Left for Secure, Component-based Development",Portland,2013,2013.11.04,
Chris Roberts,Ignite,Adding sanity to AWS CloudFormation,Portland,2013,2013.11.04,
John Willis,Talk,The DevOps State of the Union,Tel Aviv,2013,2013.10.30,
Lindsay Holmwood,Talk,The DevOps Field Guide to Cognitive Biases by ,Tel Aviv,2013,2013.10.30,
 Stephen Nelson-Smith,Talk,How Not to Do DevOps: Confessions of a Thought Leader,Tel Aviv,2013,2013.10.30,
 Asher Sterkin,Talk,What Exactly Is Anti-Fragile DevOps,Tel Aviv,2013,2013.10.30,
Tal Salmona,Talk,"Team Refactoring: How Re-Architecting a System Affects People, Teams and Processes",Tel Aviv,2013,2013.10.30,
Arjen Eriks,Talk,"Rainmakers, That Is What We Need! Don't We?",Tel Aviv,2013,2013.10.30,
Avishai Ish-Shalom,Talk,When Sh!t Hits the Fan - WebOps Disaster Survival Guide,Tel Aviv,2013,2013.10.30,
 Dvir Grinberg,Talk,Re-Culturing a 200 Employees Start-Up,Tel Aviv,2013,2013.10.30,
David Virtser,Talk,Re-Culturing a 200 Employees Start-Up,Tel Aviv,2013,2013.10.30,
Yuval Yeret,Talk,Kanban - a Sane Way towards DevOps ,Tel Aviv,2013,2013.10.30,
Aviran Mordo,Talk,Real World Strategies in Continuous Delivery,Tel Aviv,2013,2013.10.30,
Nick Galbreath,Talk,Making Operations Visible,Tokyo,2013,2013.10.28,
Sean Porter,Talk,introduction to Sensu,Tokyo,2013,2013.10.28,
Max Martin,Talk,Taking Devops to the Next Level,Tokyo,2013,2013.10.28,
John Britton,Talk,Ops for Everyone,Tokyo,2013,2013.10.28,
Ryutaro Yoshiba,Talk,DevOps – methods and tools together to achieve continuous delivery / deployment,Tokyo,2013,2013.10.28,
Issei Naruta,Talk,Being Healthy Dev and Ops,Tokyo,2013,2013.10.28,
Alexis Lê-Quôc,Talk,Effective Monitoring with statsD,Tokyo,2013,2013.10.28,
Michael Collins,Talk,Lessons learned trying to implement DevOps in a rapidly growing environment,Vancouver,2013,2013.10.25,
Mark Eijsermans,Talk,From Vagrant to production,Vancouver,2013,2013.10.25,
Chris Maxwell,Talk,Living system or build factory. Two approaches to operations,Vancouver,2013,2013.10.25,
Fletcher Nichol,Talk,Test Kitchen 1.0 - A Config Management-Neutral Integration Testing Tool,Vancouver,2013,2013.10.25,
Toufic Boubez,Talk,Comparative study of analytics algorithms for anomaly detection in the data center,Vancouver,2013,2013.10.25,
Chris Barclay,Talk,"Amazon OpsWorks: It's DevOps with Chef Jim, but not as we know it",Vancouver,2013,2013.10.25,
Jerome Pimmel,Talk,"Amazon OpsWorks: It's DevOps with Chef Jim, but not as we know it",Vancouver,2013,2013.10.25,
Yuichiro Mori,Talk,"Amazon OpsWorks: It's DevOps with Chef Jim, but not as we know it",Vancouver,2013,2013.10.25,
Sean Porter,Talk,Sensu Introduction,Vancouver,2013,2013.10.25,
Reinhardt Quelle,Talk,Building Applications for Operability,Vancouver,2013,2013.10.25,
Mike Baukes,Talk,"Enterprise DevOps - Going Big and f*$^#&g up, a Cautionary Tale",New York,2013,2013.10.17,
John Willis,Talk,State of the Devops Union,New York,2013,2013.10.17,
Kevin Behr,Talk,How to use continuous improvement kung-fu to pay down technical debt,New York,2013,2013.10.17,
Mark Burgess,Talk,What science tells us about information infrastructure,New York,2013,2013.10.17,
Baron Schwartz,Talk,What Metrics Should I Pay Attention To?,New York,2013,2013.10.17,
Bethany Macri Morgue,Talk,Helping Better Understand Events by Building a Post Mortem Tool,New York,2013,2013.10.17,
Mike Fiedler,Talk,Giving (and Taking) Back,New York,2013,2013.10.17,
Steve Murawski,Ignite,Getting Dirty With Desired State Configuration,New York,2013,2013.10.17,
Pete Cheslock,Ignite,Recruiting is broken - how do we fix it?,New York,2013,2013.10.17,
Bridget Kromhout,Ignite,How I Learned to Stop Worrying and Love DevOps,New York,2013,2013.10.17,
Manas Gupta,Ignite,Achieving common ground via Logging,New York,2013,2013.10.17,
Katherine Daniels,Ignite,Scaling up a Devops Culture,New York,2013,2013.10.17,
Tim Virtue,Ignite,"DevOps - Lead, Follow, or Get Out of The Way: A CISO Perspective",New York,2013,2013.10.17,
Patrick Eaton,Ignite,Teaching an old developer new DevOps tricks,New York,2013,2013.10.17,
Alan Sharp-Paul,Ignite,DevOps vs The Enterprise,New York,2013,2013.10.17,
Brian Johnson,Ignite,ITIL Invented DevOps; The Unknown History You Can Leverage Now,New York,2013,2013.10.17,
Jan Schaumann,Talk,We're Doing it Wrong!,New York,2013,2013.10.17,
Mathias Meyer,Talk,Failure is always an option,New York,2013,2013.10.17,
Dave Zwieback,Talk,DevOps Hiring,New York,2013,2013.10.17,
Aaron Quint,Talk,Automate or Die,New York,2013,2013.10.17,
Bare Metal ,Talk,Knights of the Provisioning Round Table,New York,2013,2013.10.17,
Leo Zhadanovsky,Talk,DevOps At Obama for America & The Democratic National Committee,New York,2013,2013.10.17,
John Schneider,Talk,DevOps At Obama for America & The Democratic National Committee,New York,2013,2013.10.17,
Alex Ballarin,Talk,An introduction to Disciplined Agile Delivery,Barcelona,2013,2013.10.10,
Isa Vilacides,Talk,The Enemies of Continuous Delivery,Barcelona,2013,2013.10.10,
Justin Vaughan-Brown,Talk,DevOps Adoption – a pan European perspective,Barcelona,2013,2013.10.10,
Almudena Vivanco Gonzalez,Talk,Continuous Performance Testing,Barcelona,2013,2013.10.10,
Dustin Whittle,Talk,The DevOps Pay Raise: Quantifying Your Value to Move Up the Ladder,Barcelona,2013,2013.10.10,
Sylvain Loubradou,Talk,Even a classical retail company can go DevOps… With success,Barcelona,2013,2013.10.10,
Oscar San Jose,Talk,Devops road at Tuenti.,Barcelona,2013,2013.10.10,
Victor Garcia,Talk,Devops road at Tuenti.,Barcelona,2013,2013.10.10,
John E. Vincent,Talk,DevOps State of the Union ,Atlanta,2013,2013.10.03,
Tj Randall,Talk,Losing Sight of Devops in an Automation Forest ,Atlanta,2013,2013.10.03,
Brian Johnson,Talk,ITIL Invented DevOps; The Unknown History You Can Leverage Now ,Atlanta,2013,2013.10.03,
Phil Whelan,Talk,Deployables ,Atlanta,2013,2013.10.03,
Kevin Lawver,Talk,Simulating Sadness With SadOps ,Atlanta,2013,2013.10.03,
Jim Hirschauer,Talk,Moving the DevOps Needle in Enterprise Organizations ,Atlanta,2013,2013.10.03,
Mark R. White,Talk,Don’t Fear the DevOps! ,Atlanta,2013,2013.10.03,
Jesse Robbins,Talk,Devops+Agile = Business Transformation,Mountain View,2013,2013.06.21,
Damon Edwards,Talk,Leading the Horses to Drink ... Support and Initiate a devops transformation ,Mountain View,2013,2013.06.21,
Jeff Sussna,Talk,Continuous Quality: What Devops means for QA ,Mountain View,2013,2013.06.21,
Toufic Boubez,Talk,Beyond Pretty Charts ... Analytics for the rest of us,Mountain View,2013,2013.06.21,
J.Paul Reed,Talk,Is your Team Instrument Rated (or: Deploying 89.000 times a day),Mountain View,2013,2013.06.21,
Scott Turnquest,Talk,Analysis techniques for identifying waste in your build pipeline,Mountain View,2013,2013.06.21,
Gary Foster,Talk,Leveling Up a New Engineer in a Devops Culture; Healthy Sustainability,Mountain View,2013,2013.06.21,
Mercedes Coyle,Talk,Leveling Up a New Engineer in a Devops Culture; Healthy Sustainability,Mountain View,2013,2013.06.21,
Antoni Batchelli,Talk,"Clusters, developers, and the complexity in Infrastructure Automation",Mountain View,2013,2013.06.21,
Adrian Cockcroft,ignite,Beer Pinapples and Bottlenecks,Mountain View,2013,2013.06.21,
Karthik Gaekwad,ignite,DevOps and the CIA,Mountain View,2013,2013.06.21,
Peco Karayanev,ignite,From Monitoring With Love,Mountain View,2013,2013.06.21,
Nate Johnson,ignite,Strategies for Pushing Devops,Mountain View,2013,2013.06.21,
David Hatten,ignite,The Positive Powers of Negative Thinking,Mountain View,2013,2013.06.21,
Dave Mangot ,ignite,DevOps Do's and Dont's ,Mountain View,2013,2013.06.21,
Jayne Groll,ignite,The IT Culture Cocktail Party,Mountain View,2013,2013.06.21,
Jonathan Thorpe,ignite,8 mistakes that prevent DevOps success,Mountain View,2013,2013.06.21,
John Esser,ignite,DevOps Isn't Enough,Mountain View,2013,2013.06.21,
James Wickett,ignite,Before you trust your code make it run the Gauntlt,Mountain View,2013,2013.06.21,
 Philip Jacob,ignite,Systems theory for successful enjoyment of AWS,Mountain View,2013,2013.06.21,
Miel Donkers,Talk,Successful testing the continuous delivery process,Amsterdam,2013,2013.06.14,
Jasper Sonnevelt,Talk,"Kanban - Dealing with the elephant in the room, one chunk at a time.",Amsterdam,2013,2013.06.14,
Michael Ducy,Talk,DudeOps - Why The Big Lebowski is About your IT project,Amsterdam,2013,2013.06.14,
Sam Eaton,Talk,Trust in DevOps,Amsterdam,2013,2013.06.14,
Frank Breedijk,Talk,"Help, my Security Officer doesn’t trust me",Amsterdam,2013,2013.06.14,
Micha Hernandez van Leuffen,Talk,Moving beyond red and green; collaboration as the next big challenge in Agile,Amsterdam,2013,2013.06.14,
Jonathan Weiss,Talk,Continuous Deployment and Integration in the Cloud,Amsterdam,2013,2013.06.14,
Andrew Clay Shafer,Talk,There is no talent shortage ,Sydney,2013,2013.06.12,
Lindsay Holmwood,Talk,The DevOps Field Guide to Cognitive Biases,Sydney,2013,2013.06.12,
Dustin Whittle,Talk,The DevOps Pay Raise: Quantifying Your Value to Move Up the Ladder ,Sydney,2013,2013.06.12,
Matt Palmer,Talk,Service-Oriented Architectures: A DevOps Dream Come True,Sydney,2013,2013.06.12,
Sam Newman,Talk,Puppet On Windows & Linux In The Cloud - A Story Of Triumph Over Adversity ,Sydney,2013,2013.06.12,
Sebastian Cole,Talk,Puppet On Windows & Linux In The Cloud - A Story Of Triumph Over Adversity ,Sydney,2013,2013.06.12,
